Id;Key;Text;LocalizationCulture;ResourceKey
55;Remove;Ștergere;ro-RO;GovITHub.Auth.Identity.Views.Manage.ManageLoginsGovITHub.Auth.Identity
56;Add another service to log in;Adăugare serviciu nou;ro-RO;GovITHub.Auth.Identity.Views.Manage.ManageLoginsGovITHub.Auth.Identity
57;Add Phone Number;Adăugare număr telefon;ro-RO;GovITHub.Auth.Identity.Views.Manage.AddPhoneNumberGovITHub.Auth.Identity
58;Profil;Profil;ro-RO;GovITHub.Auth.Identity.Views.Manage.AddPhoneNumberGovITHub.Auth.Identity
59;Add a phone number;Introduceți un număr de telefon;ro-RO;GovITHub.Auth.Identity.Views.Manage.AddPhoneNumberGovITHub.Auth.Identity
60;Send verification code;Trimite cod de verificare;ro-RO;GovITHub.Auth.Identity.Views.Manage.AddPhoneNumberGovITHub.Auth.Identity
61;PhoneNumber;Număr telefon : 07XXXXXXXX;ro-RO;GovITHub.Auth.Identity.Views.Manage.AddPhoneNumberGovITHub.Auth.Identity
64;Verify Phone Number;Verificare număr telefon;ro-RO;GovITHub.Auth.Identity.Views.Manage.VerifyPhoneNumberGovITHub.Auth.Identity
65;Profil;Profil;ro-RO;GovITHub.Auth.Identity.Views.Manage.VerifyPhoneNumberGovITHub.Auth.Identity
66;Add a phone number;Adăugare număr telefon;ro-RO;GovITHub.Auth.Identity.Views.Manage.VerifyPhoneNumberGovITHub.Auth.Identity
67;Code;Cod verificare;ro-RO;GovITHub.Auth.Identity.Views.Manage.VerifyPhoneNumberGovITHub.Auth.Identity
68;Submit;Verifică;ro-RO;GovITHub.Auth.Identity.Views.Manage.VerifyPhoneNumberGovITHub.Auth.Identity
69;Remove;Șterge;ro-RO;GovITHub.Auth.Identity.Views.Manage.IndexGovITHub.Auth.Identity
70;Add Email;Adăugare adresă email;ro-RO;GovITHub.Auth.Identity.Views.Manage.AddEmailGovITHub.Auth.Identity
71;Add an email;Introduceți o adresă de email;ro-RO;GovITHub.Auth.Identity.Views.Manage.AddEmailGovITHub.Auth.Identity
72;Email;utilizator@email.ro;ro-RO;GovITHub.Auth.Identity.Views.Manage.AddEmailGovITHub.Auth.Identity
73;Submit;Adaugă;ro-RO;GovITHub.Auth.Identity.Views.Manage.AddEmailGovITHub.Auth.Identity
74;Profil;Profil;ro-RO;GovITHub.Auth.Identity.Views.Manage.AddEmailGovITHub.Auth.Identity
75;Submit;Adaugă;ro-RO;GovITHub.Auth.Identity.Views.Manage.AddPhoneNumberGovITHub.Auth.Identity
